,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Tax Effect Of Unusual Items,,-5570000.0,2504780.0,,-2674100.0,-5144200.0,6342020.0
Tax Rate For Calcs,,0.4,0.34,,0.34,0.34,0.34
Normalized EBITDA,,312087000.0,326653000.0,,309542000.0,242640000.0,228275000.0
Total Unusual Items,,-13925000.0,7367000.0,,-7865000.0,-15130000.0,18653000.0
Total Unusual Items Excluding Goodwill,,-13925000.0,7367000.0,,-7865000.0,-15130000.0,18653000.0
Net Income From Continuing Operation Net Minority Interest,,52215000.0,129250000.0,,50233000.0,4969000.0,66463000.0
Reconciled Depreciation,,139644000.0,134854000.0,,130495000.0,128494000.0,131750000.0
Reconciled Cost Of Revenue,,2587718000.0,2724811000.0,,2473802000.0,2329656000.0,2282017000.0
EBITDA,,298162000.0,334020000.0,,301677000.0,227510000.0,246928000.0
EBIT,,158518000.0,199166000.0,,171182000.0,99016000.0,115178000.0
Net Interest Income,,-154536000.0,-173881000.0,,-182465000.0,-153551000.0,-134846000.0
Interest Expense,,126236000.0,129076000.0,,126333000.0,114258000.0,106612000.0
Normalized Income,,60570000.0,124387780.0,,55423900.0,14954800.0,54152020.0
Net Income From Continuing And Discontinued Operation,,52215000.0,129250000.0,,50233000.0,4969000.0,66463000.0
Total Expenses,,3617908000.0,3750263000.0,,3466192000.0,3232862000.0,3202244000.0
Diluted Average Shares,720147635.0,719242472.0,665004167.0,637094611.0,562710477.0,,
Basic Average Shares,720147635.0,719242472.0,665004167.0,637094611.0,562710477.0,,
Diluted EPS,0.099702,0.072993,0.190525,0.119026,0.08927,,
Basic EPS,0.099702,0.072993,0.190525,0.119026,0.08927,,
Diluted NI Availto Com Stockholders,,52215000.0,129250000.0,,50233000.0,4969000.0,66463000.0
Net Income Common Stockholders,,52215000.0,129250000.0,,50233000.0,4969000.0,66463000.0
Otherunder Preferred Stock Dividend,,0.0,0.0,,0.0,0.0,0.0
Net Income,,52215000.0,129250000.0,,50233000.0,4969000.0,66463000.0
Minority Interests,,132000.0,-261000.0,,-110000.0,-126000.0,-157000.0
Net Income Including Noncontrolling Interests,,52083000.0,129511000.0,,50343000.0,5095000.0,66620000.0
Net Income Continuous Operations,,52083000.0,129511000.0,,50343000.0,5095000.0,66620000.0
Tax Provision,,-19801000.0,-59421000.0,,-5494000.0,-20337000.0,-58054000.0
Pretax Income,,32282000.0,70090000.0,,44849000.0,-15242000.0,8566000.0
Net Non Operating Interest Income Expense,,-154536000.0,-173881000.0,,-182465000.0,-153551000.0,-134846000.0
Total Other Finance Cost,,28300000.0,107417000.0,,56132000.0,39293000.0,66639000.0
Interest Expense Non Operating,,126236000.0,129076000.0,,126333000.0,114258000.0,106612000.0
Operating Income,,190037000.0,238867000.0,,227179000.0,137844000.0,146946000.0
Operating Expense,,1030190000.0,1025452000.0,,992390000.0,903206000.0,920227000.0
Other Operating Expenses,,436000.0,1414000.0,,434000.0,316000.0,472000.0
Depreciation And Amortization In Income Statement,,,,,130495000.0,,
Depreciation Income Statement,,,,,130495000.0,,
Selling General And Administration,,1031190000.0,2988268000.0,,317195000.0,904600000.0,918094000.0
Selling And Marketing Expense,,919710000.0,,,,809851000.0,807547000.0
General And Administrative Expense,,111480000.0,-475764000.0,,317195000.0,94749000.0,110547000.0
Gross Profit,,1220227000.0,1264319000.0,,1219569000.0,1041050000.0,1067173000.0
Cost Of Revenue,,2587718000.0,2724811000.0,,2473802000.0,2329656000.0,2282017000.0
Total Revenue,,3807945000.0,3989130000.0,,3693371000.0,3370706000.0,3349190000.0
Operating Revenue,,3807945000.0,3989130000.0,,3693371000.0,3370706000.0,3349190000.0
