,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,-339031000.0,53449000.0,-18341000.0,132337000.0,53573000.0,
Repurchase Of Capital Stock,0.0,0.0,-26528000.0,0.0,-99444000.0,
Repayment Of Debt,-18132000.0,-18084000.0,-155347000.0,-300532000.0,-54207000.0,
Issuance Of Debt,,1000.0,564120000.0,,,266000.0
Capital Expenditure,-62456000.0,-189875000.0,-143387000.0,-49175000.0,-38251000.0,
End Cash Position,223953000.0,679969000.0,707345000.0,429032000.0,803209000.0,
Beginning Cash Position,679969000.0,707345000.0,429032000.0,803209000.0,996713000.0,
Changes In Cash,-456016000.0,-27376000.0,278313000.0,-374177000.0,-193504000.0,
Financing Cash Flow,-116985000.0,-105825000.0,296654000.0,-506514000.0,-247077000.0,
Net Other Financing Charges,,0.0,,,,0.0
Cash Dividends Paid,,0.0,0.0,,,0.0
Net Common Stock Issuance,0.0,0.0,-30652000.0,4124000.0,-99444000.0,
Common Stock Payments,0.0,0.0,-26528000.0,0.0,-99444000.0,
Net Issuance Payments Of Debt,-18132000.0,-18083000.0,408773000.0,-300532000.0,-54207000.0,
Net Long Term Debt Issuance,-18132000.0,-18083000.0,408773000.0,-300532000.0,-54207000.0,
Long Term Debt Payments,-18132000.0,-18084000.0,-155347000.0,-300532000.0,-54207000.0,
Long Term Debt Issuance,,1000.0,564120000.0,,,266000.0
Investing Cash Flow,-62456000.0,-164875000.0,-143387000.0,-49175000.0,-38251000.0,
Net Intangibles Purchase And Sale,-33538000.0,-37634000.0,-32571000.0,-30649000.0,-29685000.0,
Purchase Of Intangibles,-33538000.0,-37634000.0,-32571000.0,-30649000.0,-29685000.0,
Net PPE Purchase And Sale,-28918000.0,-152241000.0,-110816000.0,-18526000.0,-8566000.0,
Purchase Of PPE,-28918000.0,-152241000.0,-110816000.0,-18526000.0,-8566000.0,
Operating Cash Flow,-276575000.0,243324000.0,125046000.0,181512000.0,91824000.0,
Taxes Refund Paid,0.0,-25488000.0,5189000.0,-4947000.0,-5199000.0,
Interest Paid Cfo,-42028000.0,-58308000.0,-13670000.0,-73304000.0,-15610000.0,
Change In Working Capital,-527143000.0,60165000.0,-167212000.0,11276000.0,-165804000.0,
Change In Other Current Liabilities,57147000.0,-48207000.0,251259000.0,-59452000.0,-7120000.0,
Change In Other Current Assets,-147476000.0,120712000.0,-258108000.0,88948000.0,-65691000.0,
Change In Payable,-386726000.0,159089000.0,37310000.0,263649000.0,-219311000.0,
Change In Inventory,-170255000.0,26445000.0,-184064000.0,-119034000.0,-127774000.0,
Change In Receivables,226724000.0,-333639000.0,-54844000.0,-194628000.0,368892000.0,
Other Non Cash Items,99930000.0,110181000.0,94148000.0,83380000.0,81313000.0,
Stock Based Compensation,344000.0,395000.0,396000.0,-2223000.0,1318000.0,
Provisionand Write Offof Assets,16401000.0,-8176000.0,21162000.0,8316000.0,16992000.0,
Deferred Tax,512000.0,-140881000.0,,,975000.0,
Depreciation And Amortization,122313000.0,118884000.0,115271000.0,116031000.0,113460000.0,
Depreciation,122313000.0,118884000.0,180715000.0,50587000.0,113460000.0,
Gain Loss On Sale Of PPE,,,3365000.0,,,6233000.0
Net Income From Continuing Operations,56603000.0,113765000.0,66246000.0,42034000.0,69136000.0,
